date,displacement_m
2021-01-05,-0.006517
2021-01-11,-0.007066
2021-01-17,-0.006382
2021-01-23,-0.008400
2021-01-29,-0.007230
2021-02-04,-0.008005
2021-02-10,-0.009279
2021-02-16,-0.008082
2021-02-22,-0.008007
2021-02-28,-0.008560
2021-03-06,-0.008890
2021-03-12,-0.009094
2021-03-18,-0.009223
2021-03-24,-0.009587
2021-03-30,-0.010206
2021-04-05,-0.009570
2021-04-11,-0.008467
2021-04-17,-0.009638
2021-04-29,-0.010380
2021-05-05,-0.010135
2021-05-11,-0.010147
2021-05-17,-0.010795
2021-05-23,-0.010350
2021-06-10,-0.011319
2021-06-22,-0.011455
2021-06-28,-0.011111
2021-07-10,-0.011489
2021-07-16,-0.010197
2021-07-22,-0.011590
2021-08-03,-0.011235
2021-08-09,-0.012519
2021-08-15,-0.011383
2021-08-21,-0.011753
2021-08-27,-0.011188
2021-09-02,-0.010871
2021-09-08,-0.011632
2021-09-14,-0.009720
2021-09-20,-0.011961
2021-09-26,-0.010963
2021-10-02,-0.011723
2021-10-08,-0.012594
2021-10-14,-0.011424
2021-10-20,-0.012540
2021-10-26,-0.011301
2021-11-01,-0.012490
2021-11-07,-0.013140
2021-11-13,-0.012896
2021-11-19,-0.013567
2021-11-25,-0.013043
2021-12-01,-0.013407
2021-12-07,-0.013615
2021-12-13,-0.014106
2021-12-19,-0.014487
2021-12-25,-0.015135
2022-01-06,-0.014798
2022-01-18,-0.014690
2022-01-30,-0.015621
2022-02-11,-0.015830
2022-02-23,-0.016064
2022-03-07,-0.017129
2022-03-19,-0.017094
2022-03-31,-0.019728
2022-04-12,-0.021302
2022-04-24,-0.022005
2022-05-06,-0.022585
2022-05-18,-0.022877
2022-05-30,-0.022575
2022-06-11,-0.023055
2022-06-23,-0.023116
2022-07-05,-0.024183
2022-07-17,-0.024335
2022-07-29,-0.025488
2022-08-10,-0.024962
2022-08-22,-0.024374
2022-09-03,-0.024946
2022-09-15,-0.026106
2022-09-27,-0.026514
2022-10-09,-0.024248
2022-10-21,-0.027246
2022-11-02,-0.028442
2022-11-14,-0.029686
2022-11-26,-0.031005
2022-12-08,-0.032934
2022-12-20,-0.032984
2023-01-01,-0.032800
2023-01-13,-0.033673
2023-01-25,-0.034236
2023-02-06,-0.033668
2023-02-18,-0.034881
2023-03-02,-0.035243
2023-03-14,-0.036017
2023-03-26,-0.036603
2023-04-07,-0.036912
2023-04-19,-0.035311
2023-05-01,-0.036334
2023-05-13,-0.037377
2023-05-25,-0.037907
2023-06-06,-0.036958
2023-06-18,-0.037567
2023-06-30,-0.036955
2023-07-24,-0.038279
2023-08-05,-0.039227
2023-08-17,-0.037961
2023-08-29,-0.038492
2023-09-10,-0.038635
2023-09-22,-0.040070
2023-10-04,-0.038912
2023-10-16,-0.039800
2023-11-09,-0.038548
2023-11-21,-0.042654
2023-12-03,-0.041236
2023-12-15,-0.039120
2023-12-27,-0.039503
2024-01-08,-0.039754
2024-01-20,-0.041235
2024-02-01,-0.040226
2024-02-13,-0.041007
2024-02-25,-0.041949
2024-03-08,-0.041877
2024-03-20,-0.042081
2024-04-01,-0.042917
2024-04-13,-0.039407
2024-04-25,-0.042334
2024-05-07,-0.042376
2024-05-19,-0.042405
2024-05-31,-0.041827
2024-06-12,-0.041549
2024-06-24,-0.042338
2024-07-06,-0.042986
2024-07-18,-0.042535
