date,displacement_m
2021-01-05,-0.010269
2021-01-11,-0.008395
2021-01-17,-0.008659
2021-01-23,-0.006821
2021-01-29,-0.007673
2021-02-04,-0.011413
2021-02-10,-0.011964
2021-02-16,-0.011023
2021-02-22,-0.015510
2021-02-28,-0.007525
2021-03-06,-0.007980
2021-03-12,-0.007084
2021-03-18,-0.013434
2021-03-24,-0.007681
2021-03-30,-0.008474
2021-04-05,-0.005096
2021-04-11,-0.014015
2021-04-17,-0.008493
2021-04-29,-0.012239
2021-05-05,-0.014269
2021-05-11,-0.007633
2021-05-17,-0.013345
2021-05-23,-0.015608
2021-06-10,-0.006856
2021-06-22,-0.006319
2021-06-28,-0.013444
2021-07-10,-0.009731
2021-07-16,-0.018105
2021-07-22,-0.008797
2021-08-03,-0.010186
2021-08-09,-0.009474
2021-08-15,-0.011572
2021-08-21,-0.007790
2021-08-27,-0.011585
2021-09-02,-0.019682
2021-09-08,-0.012224
2021-09-14,-0.019566
2021-09-20,-0.014714
2021-09-26,-0.010925
2021-10-02,-0.014132
2021-10-08,-0.000499
2021-10-14,-0.009434
2021-10-20,-0.007885
2021-10-26,-0.009924
2021-11-01,-0.012229
2021-11-07,-0.013601
2021-11-13,-0.015788
2021-11-19,-0.011320
2021-11-25,-0.008862
2021-12-01,-0.014445
2021-12-07,-0.010747
2021-12-13,-0.012817
2021-12-19,-0.010909
2021-12-25,-0.017418
2022-01-06,-0.016922
2022-01-18,-0.014645
2022-01-30,-0.014054
2022-02-11,-0.011881
2022-02-23,-0.013735
2022-03-07,-0.014098
2022-03-19,-0.016944
2022-03-31,-0.027031
2022-04-12,-0.006432
2022-04-24,-0.016495
2022-05-06,-0.023034
2022-05-18,-0.020782
2022-05-30,-0.023534
2022-06-11,-0.019281
2022-06-23,-0.027460
2022-07-05,-0.025449
2022-07-17,-0.026348
2022-07-29,-0.022024
2022-08-10,-0.023573
2022-08-22,-0.019783
2022-09-03,-0.017346
2022-09-15,-0.025416
2022-09-27,-0.026054
2022-10-09,-0.063879
2022-10-21,-0.028780
2022-11-02,-0.027211
2022-11-14,-0.021847
2022-11-26,-0.025498
2022-12-08,-0.026155
2022-12-20,-0.028996
2023-01-01,-0.025192
2023-01-13,-0.031922
2023-01-25,-0.028668
2023-02-06,-0.030707
2023-02-18,-0.031608
2023-03-02,-0.030694
2023-03-14,-0.026639
2023-03-26,-0.030395
2023-04-07,-0.032263
2023-04-19,-0.033880
2023-05-01,-0.027290
2023-05-13,-0.034695
2023-05-25,-0.028260
2023-06-06,-0.036341
2023-06-18,-0.034664
2023-06-30,-0.031519
2023-07-24,-0.037735
2023-08-05,-0.030744
2023-08-17,-0.031720
2023-08-29,-0.030549
2023-09-10,-0.033194
2023-09-22,-0.034922
2023-10-04,-0.036584
2023-10-16,-0.033387
2023-11-09,-0.042859
2023-11-21,-0.030210
2023-12-03,-0.035124
2023-12-15,-0.041992
2023-12-27,-0.031241
2024-01-08,-0.034725
2024-01-20,-0.031415
2024-02-01,-0.035834
2024-02-13,-0.032380
2024-02-25,-0.032098
2024-03-08,-0.031389
2024-03-20,-0.042275
2024-04-01,-0.039738
2024-04-13,-0.032843
2024-04-25,-0.037960
2024-05-07,-0.037334
2024-05-19,-0.028973
2024-05-31,-0.027553
2024-06-12,-0.041205
2024-06-24,-0.026387
2024-07-06,-0.023919
2024-07-18,-0.027860
