date,displacement_m
2021-01-06,0.001633
2021-01-12,0.001588
2021-01-18,0.001747
2021-01-24,0.002042
2021-01-30,0.002759
2021-02-05,0.003181
2021-02-11,0.002584
2021-02-17,0.002126
2021-02-23,0.002221
2021-03-01,0.001224
2021-03-07,0.002570
2021-03-13,0.002476
2021-03-19,0.002225
2021-03-25,0.002638
2021-03-31,0.002312
2021-04-06,0.002648
2021-04-12,0.003233
2021-04-18,0.002442
2021-04-24,0.003600
2021-04-30,0.003300
2021-05-06,0.002823
2021-05-12,0.002975
2021-05-18,0.002955
2021-05-24,0.003092
2021-05-30,0.003502
2021-06-05,0.003029
2021-06-11,0.003516
2021-06-17,0.003649
2021-06-23,0.003627
2021-06-29,0.003514
2021-07-05,0.003147
2021-07-11,0.004132
2021-07-17,0.003134
2021-07-23,0.003295
2021-07-29,0.003390
2021-08-04,0.003946
2021-08-10,0.003440
2021-08-16,0.003174
2021-08-22,0.003589
2021-08-28,0.004573
2021-09-03,0.004003
2021-09-09,0.004529
2021-09-15,0.004803
2021-09-21,0.003992
2021-09-27,0.004439
2021-10-03,0.004683
2021-10-09,0.003870
2021-10-15,0.004532
2021-10-21,0.004076
2021-10-27,0.004140
2021-11-02,0.003300
2021-11-08,0.003066
2021-11-14,0.003110
2021-11-20,0.003349
2021-11-26,0.003596
2021-12-02,0.003102
2021-12-08,0.002757
2021-12-14,0.002599
2021-12-20,0.002735
2021-12-26,0.003650
2022-01-07,0.002056
2022-01-19,0.001689
2022-01-31,0.000640
2022-02-12,0.000252
2022-02-24,-0.001582
2022-03-08,-0.000705
2022-03-20,-0.001980
2022-04-01,-0.002979
2022-04-13,-0.002559
2022-05-07,-0.004392
2022-05-19,-0.005286
2022-05-31,-0.004915
2022-06-12,-0.005493
2022-06-24,-0.004599
2022-07-06,-0.005007
2022-07-18,-0.005322
2022-07-30,-0.005110
2022-08-11,-0.004815
2022-08-23,-0.005460
2022-09-04,-0.005083
2022-09-16,-0.005003
2022-09-28,-0.005664
2022-10-10,-0.005739
2022-10-22,-0.005754
2022-11-03,-0.005570
2022-11-15,-0.005432
2022-11-27,-0.005510
2022-12-09,-0.005612
2022-12-21,-0.007150
2023-01-02,-0.006701
2023-01-14,-0.007709
2023-01-26,-0.007304
2023-02-07,-0.007537
2023-02-19,-0.007211
2023-03-03,-0.007265
2023-03-15,-0.007600
2023-03-27,-0.007979
2023-04-08,-0.007048
2023-04-20,-0.007328
2023-05-02,-0.006916
2023-05-14,-0.007416
2023-05-26,-0.006857
2023-06-07,-0.007345
2023-06-19,-0.007547
2023-07-01,-0.006697
2023-07-13,-0.006060
2023-07-25,-0.006391
2023-08-06,-0.006848
2023-08-18,-0.006673
2023-08-30,-0.006641
2023-09-11,-0.006373
2023-09-23,-0.006022
2023-10-05,-0.006911
2023-10-17,-0.006689
2023-11-10,-0.007423
2023-11-22,-0.008335
2023-12-04,-0.007178
2023-12-16,-0.007050
2023-12-28,-0.008325
2024-01-09,-0.008174
2024-01-21,-0.009110
2024-02-02,-0.009358
2024-02-26,-0.007938
2024-03-09,-0.010818
2024-03-21,-0.010065
2024-04-02,-0.009838
2024-04-14,-0.011316
2024-04-26,-0.009803
2024-05-08,-0.009427
2024-05-20,-0.009463
2024-06-01,-0.010211
2024-06-13,-0.011548
2024-06-25,-0.012574
2024-07-07,-0.012518
2024-07-19,-0.013136
