date,displacement_m
2021-01-06,-0.011367
2021-01-12,-0.013467
2021-01-18,-0.012799
2021-01-24,-0.011314
2021-01-30,-0.013857
2021-02-05,-0.018360
2021-02-11,-0.017341
2021-02-17,-0.015171
2021-02-23,-0.014734
2021-03-01,-0.014425
2021-03-07,-0.016359
2021-03-13,-0.013481
2021-03-19,-0.013169
2021-03-25,-0.020581
2021-03-31,-0.014550
2021-04-06,-0.018310
2021-04-12,-0.016190
2021-04-18,-0.015872
2021-04-24,-0.017921
2021-04-30,-0.016873
2021-05-06,-0.018463
2021-05-12,-0.015331
2021-05-18,-0.019756
2021-05-24,-0.020142
2021-05-30,-0.017327
2021-06-05,-0.019113
2021-06-11,-0.027231
2021-06-17,-0.018872
2021-06-23,-0.016454
2021-06-29,-0.018855
2021-07-05,-0.018623
2021-07-11,-0.016978
2021-07-17,-0.019561
2021-07-23,-0.014405
2021-07-29,-0.019807
2021-08-04,-0.013082
2021-08-10,-0.018784
2021-08-16,-0.023192
2021-08-22,-0.021421
2021-08-28,-0.023608
2021-09-03,-0.019593
2021-09-09,-0.018528
2021-09-15,-0.022106
2021-09-21,-0.019880
2021-09-27,-0.020968
2021-10-03,-0.018507
2021-10-09,-0.028335
2021-10-15,-0.024699
2021-10-21,-0.020042
2021-10-27,-0.023164
2021-11-02,-0.021393
2021-11-08,-0.016120
2021-11-14,-0.025168
2021-11-20,-0.016502
2021-11-26,-0.023125
2021-12-02,-0.023786
2021-12-08,-0.033696
2021-12-14,-0.024016
2021-12-20,-0.023583
2021-12-26,-0.022773
2022-01-07,-0.027490
2022-01-19,-0.028468
2022-01-31,-0.027861
2022-02-12,-0.032347
2022-02-24,-0.030723
2022-03-08,-0.027300
2022-03-20,-0.026359
2022-04-01,-0.031738
2022-04-13,-0.035514
2022-05-07,-0.035898
2022-05-19,-0.036006
2022-05-31,-0.039089
2022-06-12,-0.041968
2022-06-24,-0.042168
2022-07-06,-0.033612
2022-07-18,-0.040576
2022-07-30,-0.040311
2022-08-11,-0.039245
2022-08-23,-0.042440
2022-09-04,-0.045259
2022-09-16,-0.042213
2022-09-28,-0.046309
2022-10-10,-0.047330
2022-10-22,-0.038098
2022-11-03,-0.046591
2022-11-15,-0.045771
2022-11-27,-0.045435
2022-12-09,-0.051275
2022-12-21,-0.050165
2023-01-02,-0.046398
2023-01-14,-0.050458
2023-01-26,-0.050269
2023-02-07,-0.046327
2023-02-19,-0.046457
2023-03-03,-0.050731
2023-03-15,-0.054172
2023-03-27,-0.052824
2023-04-08,-0.053451
2023-04-20,-0.053889
2023-05-02,-0.055527
2023-05-14,-0.055846
2023-05-26,-0.054252
2023-06-07,-0.049880
2023-06-19,-0.052662
2023-07-01,-0.056269
2023-07-13,-0.053203
2023-07-25,-0.053706
2023-08-06,-0.061739
2023-08-18,-0.053556
2023-08-30,-0.058487
2023-09-11,-0.056371
2023-09-23,-0.051330
2023-10-05,-0.058951
2023-10-17,-0.053932
2023-11-10,-0.052943
2023-11-22,-0.058172
2023-12-04,-0.060350
2023-12-16,-0.056903
2023-12-28,-0.061126
2024-01-09,-0.058085
2024-01-21,-0.058382
2024-02-02,-0.060755
2024-02-26,-0.063135
2024-03-09,-0.060449
2024-03-21,-0.062622
2024-04-02,-0.057290
2024-04-14,-0.060829
2024-04-26,-0.058558
2024-05-08,-0.055711
2024-05-20,-0.057622
2024-06-01,-0.059544
2024-06-13,-0.061460
2024-06-25,-0.059975
2024-07-07,-0.062977
2024-07-19,-0.064902
