date,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32
2015-03-20,0.011486,0.015207,0.015247,0.020150,0.015696,0.019023,0.031952,0.017128,0.021431,0.017128,0.030317,0.031340,0.000000,0.042596,0.021431,0.027456,0.029040,0.029565,0.000000,0.000000,0.047590,0.044565,0.042596,0.000000,0.018787,0.011187,0.018381,0.029848,0.023634,0.045253,0.010857,0.014518
2015-04-01,0.003643,0.008017,0.007199,0.011926,0.008205,0.010603,0.023931,0.009531,0.014701,0.009531,0.021771,0.022926,0.000000,0.034546,0.014701,0.018762,0.020939,0.021806,0.000000,0.000000,0.039000,0.037418,0.034546,0.000000,0.011157,0.003864,0.009069,0.021524,0.014420,0.034868,0.003337,0.007002
2015-04-13,0.008068,0.011931,0.013860,0.016874,0.014935,0.016314,0.029056,0.014488,0.020849,0.014488,0.027981,0.028102,0.000000,0.039688,0.020849,0.024459,0.026436,0.027540,0.000000,0.000000,0.044975,0.042334,0.039688,0.000000,0.015554,0.007629,0.013269,0.026316,0.018577,0.039619,0.008442,0.011978
2015-04-25,-0.010987,-0.005610,-0.005293,-0.000491,-0.004120,-0.000900,0.011325,-0.002994,0.001763,-0.002994,0.009823,0.010518,0.000000,0.022286,0.001763,0.007590,0.008957,0.010159,0.000000,0.000000,0.027882,0.025375,0.022286,0.000000,-0.002224,-0.009435,-0.003946,0.009836,0.002649,0.023076,-0.009062,-0.006519
2015-05-07,0.012663,0.019093,0.018551,0.023639,0.020204,0.023331,0.033946,0.021788,0.024537,0.021788,0.032595,0.034998,0.000000,0.045453,0.024537,0.029588,0.031806,0.032940,0.000000,0.000000,0.050960,0.048787,0.045453,0.000000,0.021993,0.015051,0.020041,0.034401,0.026495,0.046701,0.015096,0.017866
2015-05-19,-0.001644,0.004358,0.003007,0.007959,0.004397,0.006679,0.017125,0.005725,0.009677,0.005725,0.016158,0.018918,0.000000,0.030381,0.009677,0.014854,0.017118,0.018174,0.000000,0.000000,0.035150,0.033233,0.030381,0.000000,0.007078,0.000777,0.006153,0.019420,0.012529,0.033404,-0.000253,0.002996
2015-05-31,0.007104,0.013408,0.013109,0.018171,0.014400,0.016515,0.026416,0.016347,0.020143,0.016347,0.026565,0.029147,0.000000,0.039812,0.020143,0.025103,0.027623,0.028273,0.000000,0.000000,0.044814,0.042897,0.039812,0.000000,0.016204,0.009337,0.014631,0.029159,0.021299,0.042268,0.009335,0.012920
2015-06-12,0.015722,0.021294,0.021769,0.026839,0.022932,0.025276,0.034896,0.024789,0.029325,0.024789,0.035039,0.037805,0.000000,0.048068,0.029325,0.034512,0.036846,0.037212,0.000000,0.000000,0.053465,0.051101,0.048068,0.000000,0.024022,0.017428,0.023497,0.037800,0.029961,0.050925,0.017815,0.021552
2015-06-24,0.013063,0.018018,0.019284,0.023792,0.020424,0.022752,0.032328,0.022292,0.026644,0.022292,0.032188,0.035013,0.000000,0.045347,0.026644,0.031386,0.033801,0.034119,0.000000,0.000000,0.050696,0.048262,0.045347,0.000000,0.021236,0.014366,0.019721,0.034756,0.026618,0.047403,0.015135,0.018556
2015-07-06,0.008581,0.013730,0.014762,0.018759,0.014703,0.016759,0.026051,0.017940,0.023395,0.017940,0.026936,0.029190,0.000000,0.038908,0.023395,0.027064,0.029147,0.029223,0.000000,0.000000,0.044516,0.041993,0.038908,0.000000,0.015866,0.008830,0.013812,0.028382,0.019925,0.040357,0.009897,0.013805
2015-07-30,0.007301,0.012681,0.009261,0.014481,0.011904,0.013686,0.023998,0.012013,0.015681,0.012013,0.021223,0.025005,0.000000,0.035931,0.015681,0.020364,0.022872,0.023492,0.000000,0.000000,0.040001,0.038555,0.035931,0.000000,0.014809,0.008842,0.013502,0.026385,0.019065,0.039093,0.007773,0.011141
2015-08-11,0.002696,0.008181,0.008460,0.013627,0.010097,0.012965,0.021760,0.011306,0.016597,0.011306,0.020808,0.024334,0.000000,0.034388,0.016597,0.021404,0.023335,0.023645,0.000000,0.000000,0.040476,0.037918,0.034388,0.000000,0.010933,0.004161,0.010569,0.023993,0.016174,0.037574,0.005267,0.008869
2015-08-23,0.008208,0.013177,0.014465,0.019712,0.016104,0.018653,0.027607,0.017677,0.021480,0.017677,0.027196,0.030607,0.000000,0.040279,0.021480,0.026647,0.028862,0.028945,0.000000,0.000000,0.045770,0.043305,0.040279,0.000000,0.016281,0.009198,0.015096,0.029848,0.021512,0.042281,0.010709,0.014901
