date,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32
2015-03-20,0.000000,0.003721,0.003761,0.008664,0.004210,0.007537,0.020466,0.005642,0.009945,0.005642,0.018831,0.019854,-0.011486,0.031110,0.009945,0.015970,0.017554,0.018079,-0.011486,-0.011486,0.036104,0.033079,0.031110,-0.011486,0.007301,-0.000299,0.006895,0.018362,0.012148,0.033767,-0.000629,0.003032
2015-04-01,0.000000,0.004374,0.003556,0.008284,0.004563,0.006960,0.020288,0.005889,0.011058,0.005889,0.018128,0.019283,-0.003643,0.030904,0.011058,0.015119,0.017296,0.018163,-0.003643,-0.003643,0.035357,0.033775,0.030904,-0.003643,0.007514,0.000221,0.005427,0.017882,0.010777,0.031225,-0.000306,0.003360
2015-04-13,0.000000,0.003863,0.005791,0.008806,0.006867,0.008246,0.020988,0.006420,0.012781,0.006420,0.019912,0.020034,-0.008068,0.031619,0.012781,0.016391,0.018368,0.019472,-0.008068,-0.008068,0.036906,0.034266,0.031619,-0.008068,0.007485,-0.000440,0.005200,0.018247,0.010508,0.031550,0.000374,0.003910
2015-04-25,0.000000,0.005377,0.005694,0.010496,0.006867,0.010087,0.022312,0.007993,0.012750,0.007993,0.020810,0.021505,0.010987,0.033273,0.012750,0.018577,0.019944,0.021146,0.010987,0.010987,0.038869,0.036362,0.033273,0.010987,0.008763,0.001552,0.007041,0.020823,0.013636,0.034063,0.001925,0.004468
2015-05-07,0.000000,0.006430,0.005888,0.010976,0.007540,0.010667,0.021283,0.009124,0.011873,0.009124,0.019932,0.022335,-0.012663,0.032790,0.011873,0.016925,0.019143,0.020276,-0.012663,-0.012663,0.038296,0.036123,0.032790,-0.012663,0.009330,0.002387,0.007377,0.021737,0.013831,0.034038,0.002432,0.005202
2015-05-19,0.000000,0.006002,0.004651,0.009602,0.006041,0.008323,0.018769,0.007369,0.011321,0.007369,0.017802,0.020562,0.001644,0.032025,0.011321,0.016498,0.018762,0.019818,0.001644,0.001644,0.036794,0.034877,0.032025,0.001644,0.008722,0.002421,0.007797,0.021064,0.014173,0.035048,0.001391,0.004640
2015-05-31,0.000000,0.006303,0.006005,0.011067,0.007296,0.009411,0.019312,0.009243,0.013039,0.009243,0.019461,0.022043,-0.007104,0.032708,0.013039,0.017999,0.020519,0.021169,-0.007104,-0.007104,0.037710,0.035793,0.032708,-0.007104,0.009099,0.002233,0.007527,0.022055,0.014195,0.035164,0.002231,0.005816
2015-06-12,0.000000,0.005572,0.006047,0.011117,0.007210,0.009554,0.019174,0.009067,0.013603,0.009067,0.019317,0.022083,-0.015722,0.032346,0.013603,0.018791,0.021124,0.021490,-0.015722,-0.015722,0.037744,0.035379,0.032346,-0.015722,0.008300,0.001706,0.007775,0.022078,0.014239,0.035203,0.002094,0.005830
2015-06-24,0.000000,0.004955,0.006221,0.010729,0.007361,0.009689,0.019265,0.009229,0.013581,0.009229,0.019125,0.021950,-0.013063,0.032283,0.013581,0.018322,0.020738,0.021055,-0.013063,-0.013063,0.037633,0.035199,0.032283,-0.013063,0.008173,0.001303,0.006658,0.021692,0.013554,0.034339,0.002071,0.005492
2015-07-06,0.000000,0.005149,0.006181,0.010178,0.006122,0.008178,0.017470,0.009359,0.014814,0.009359,0.018355,0.020609,-0.008581,0.030327,0.014814,0.018483,0.020566,0.020642,-0.008581,-0.008581,0.035935,0.033412,0.030327,-0.008581,0.007285,0.000249,0.005231,0.019801,0.011344,0.031776,0.001316,0.005224
2015-07-30,0.000000,0.005380,0.001960,0.007180,0.004603,0.006385,0.016697,0.004712,0.008380,0.004712,0.013922,0.017705,-0.007301,0.028631,0.008380,0.013064,0.015571,0.016192,-0.007301,-0.007301,0.032701,0.031254,0.028631,-0.007301,0.007509,0.001542,0.006201,0.019085,0.011765,0.031793,0.000472,0.003840
2015-08-11,0.000000,0.005484,0.005763,0.010931,0.007401,0.010269,0.019064,0.008609,0.013901,0.008609,0.018112,0.021638,-0.002696,0.031692,0.013901,0.018708,0.020639,0.020948,-0.002696,-0.002696,0.037780,0.035222,0.031692,-0.002696,0.008237,0.001465,0.007873,0.021297,0.013478,0.034878,0.002570,0.006172
2015-08-23,0.000000,0.004969,0.006257,0.011504,0.007896,0.010445,0.019399,0.009469,0.013272,0.009469,0.018988,0.022399,-0.008208,0.032071,0.013272,0.018439,0.020654,0.020737,-0.008208,-0.008208,0.037562,0.035097,0.032071,-0.008208,0.008073,0.000990,0.006888,0.021640,0.013304,0.034073,0.002501,0.006693
2015-09-16,0.000000,0.002417,0.009705,0.012027,0.006079,0.006459,0.013262,0.012405,0.016112,0.012405,0.020281,0.019645,0.007229,0.025784,0.016112,0.019726,0.021720,0.020993,0.007229,0.007229,0.033597,0.029146,0.025784,0.007229,0.003221,-0.001907,0.002023,0.016124,0.008588,0.027869,-0.000044,0.007005
2015-09-28,0.000000,0.004943,0.004568,0.009283,0.005866,0.008624,0.016874,0.007480,0.012603,0.007480,0.016682,0.019724,-0.005340,0.029590,0.012603,0.016645,0.018650,0.019183,-0.005340,-0.005340,0.035317,0.032914,0.029590,-0.005340,0.007641,0.001253,0.006242,0.020078,0.011953,0.032696,0.001399,0.005315
2015-10-10,0.000000,0.004752,0.006939,0.010227,0.006087,0.007221,0.014944,0.009958,0.015105,0.009958,0.018628,0.019828,-0.010394,0.028044,0.015105,0.018250,0.020191,0.019995,-0.010394,-0.010394,0.034635,0.030695,0.028044,-0.010394,0.006137,0.000849,0.006108,0.018837,0.011994,0.033160,0.000744,0.005649
2015-10-22,0.000000,0.004958,0.004964,0.009192,0.005617,0.007376,0.016527,0.006866,0.013861,0.006866,0.016986,0.019041,-0.005210,0.029041,0.013861,0.017149,0.018648,0.018976,-0.005210,-0.005210,0.034680,0.031610,0.029041,-0.005210,0.006423,0.001109,0.005111,0.019549,0.011856,0.032625,0.001312,0.005103
2015-11-15,0.000000,0.005198,0.004828,0.009587,0.006563,0.009089,0.018267,0.006539,0.013737,0.006539,0.017543,0.019983,-0.004457,0.030537,0.013737,0.017534,0.018933,0.019350,-0.004457,-0.004457,0.035890,0.033020,0.030537,-0.004457,0.007274,0.001555,0.005974,0.020708,0.012883,0.034023,0.001987,0.005066
