date,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32
2015-03-21,0.004286,0.004251,0.006587,0.003283,0.006972,0.005035,0.011449,0.022259,0.021069,0.017897,0.041380,0.047897,0.000000,0.029971,0.016937,0.022413,0.035198,0.043504,0.049624,0.051866,0.035292,0.028864,0.033669,0.029474,0.004625,0.006991,0.011139,0.021460,0.025829,0.032329,0.004245,0.003283
2015-04-02,0.008357,0.008360,0.010260,0.007414,0.011109,0.008125,0.015885,0.026220,0.025367,0.022510,0.045860,0.052395,0.000000,0.034839,0.020183,0.026850,0.039344,0.048020,0.053957,0.056070,0.040569,0.034148,0.038926,0.033727,0.009400,0.010558,0.014077,0.026249,0.030452,0.035690,0.007941,0.007414
2015-04-26,0.007264,0.009949,0.011674,0.008910,0.012073,0.011306,0.016403,0.026597,0.024342,0.024167,0.047120,0.053559,0.000000,0.036073,0.021096,0.027011,0.040693,0.049153,0.055443,0.057498,0.041746,0.035311,0.039807,0.034539,0.010931,0.012144,0.013529,0.026511,0.031081,0.036888,0.009812,0.008910
2015-05-08,0.004881,0.007084,0.006506,0.004382,0.006593,0.007033,0.011565,0.022236,0.020120,0.018800,0.042126,0.049602,0.000000,0.031228,0.017310,0.023090,0.035680,0.044654,0.050647,0.053026,0.036340,0.029665,0.035237,0.030201,0.006940,0.008148,0.011309,0.023194,0.026802,0.032919,0.004852,0.004382
2015-05-20,0.012336,0.013553,0.013116,0.011311,0.012828,0.013260,0.017727,0.028267,0.027117,0.025672,0.048625,0.056118,0.000000,0.037821,0.023308,0.029571,0.042454,0.051324,0.056995,0.059353,0.043509,0.036949,0.042224,0.037209,0.013311,0.015232,0.018290,0.030472,0.034810,0.040162,0.011386,0.011311
2015-06-01,0.006478,0.007638,0.007127,0.005059,0.005496,0.006121,0.010284,0.020931,0.021243,0.018290,0.041206,0.048588,0.000000,0.029797,0.017610,0.023205,0.035004,0.044152,0.049404,0.051863,0.035714,0.028782,0.034802,0.030011,0.007003,0.008751,0.012188,0.023464,0.027546,0.032619,0.004667,0.005059
2015-06-13,0.008365,0.009862,0.009664,0.007605,0.008479,0.008807,0.012683,0.023302,0.023957,0.021286,0.044266,0.051587,0.000000,0.032506,0.020284,0.026123,0.038106,0.047221,0.052423,0.054936,0.038709,0.031757,0.037528,0.032630,0.009172,0.011005,0.014407,0.025926,0.029968,0.035296,0.007214,0.007605
2015-06-25,0.005320,0.007170,0.006864,0.004916,0.006056,0.006327,0.011039,0.020697,0.021463,0.019393,0.041900,0.049534,0.000000,0.031201,0.017889,0.023944,0.036051,0.045011,0.050112,0.052941,0.037165,0.030006,0.035999,0.031039,0.006807,0.009299,0.012694,0.024121,0.028264,0.033792,0.004430,0.004916
2015-07-07,0.006238,0.008146,0.008971,0.006512,0.008511,0.008712,0.012740,0.023798,0.023747,0.023121,0.045041,0.052684,0.000000,0.034066,0.020135,0.026870,0.039561,0.048014,0.053467,0.055870,0.040253,0.033363,0.038445,0.032969,0.007600,0.010656,0.013470,0.026100,0.030386,0.035866,0.006192,0.006512
2015-07-31,0.008683,0.009925,0.010879,0.008549,0.009587,0.009813,0.013587,0.024211,0.024525,0.022622,0.044721,0.052086,0.000000,0.032737,0.020542,0.026830,0.038825,0.047485,0.052627,0.055349,0.038751,0.031851,0.036949,0.031981,0.008850,0.010949,0.014916,0.025036,0.029102,0.034589,0.007975,0.008549
2015-08-12,0.005686,0.007111,0.007768,0.005540,0.007367,0.007472,0.011713,0.020628,0.020898,0.019898,0.042155,0.049924,0.000000,0.031583,0.017155,0.023666,0.036309,0.044951,0.050323,0.053161,0.037301,0.030558,0.035793,0.030944,0.006623,0.009377,0.012595,0.024031,0.028445,0.033418,0.005400,0.005540
2015-08-24,0.011935,0.012982,0.014122,0.011611,0.012885,0.012972,0.017181,0.026783,0.027725,0.025829,0.047824,0.055312,0.000000,0.036483,0.023937,0.030212,0.042256,0.050747,0.055733,0.058587,0.042227,0.035420,0.040794,0.036006,0.012402,0.015057,0.018698,0.029193,0.033371,0.038947,0.011276,0.011611
2015-09-17,0.002537,0.001887,0.004823,0.002494,0.005142,0.004629,0.009111,0.018592,0.019283,0.018489,0.040631,0.047572,0.000000,0.028475,0.015889,0.021488,0.034662,0.043094,0.048344,0.050144,0.035010,0.028060,0.033039,0.027499,0.002845,0.005915,0.007594,0.020903,0.024814,0.029232,0.002615,0.002494
2015-09-29,0.007192,0.008300,0.009409,0.007285,0.008764,0.008794,0.013185,0.022251,0.023145,0.021549,0.043785,0.051305,0.000000,0.032457,0.019041,0.025542,0.037862,0.046337,0.051737,0.054355,0.038518,0.031595,0.036962,0.032055,0.008001,0.010663,0.013728,0.025341,0.029619,0.035031,0.006790,0.007285
2015-10-11,-0.000427,-0.001353,0.001755,0.000137,0.002190,0.002000,0.006695,0.015129,0.016154,0.014656,0.037208,0.044942,0.000000,0.025809,0.012017,0.018079,0.030750,0.039484,0.044803,0.047494,0.031856,0.025536,0.030018,0.025160,0.000667,0.004374,0.006058,0.018040,0.023031,0.028245,0.000056,0.000137
2015-10-23,0.007977,0.009191,0.010490,0.008270,0.010469,0.009216,0.013317,0.024326,0.025318,0.023635,0.045967,0.052768,0.000000,0.033831,0.021464,0.027345,0.039883,0.048428,0.052700,0.055636,0.039605,0.033008,0.037778,0.033445,0.008930,0.011485,0.012945,0.026740,0.031253,0.035460,0.007915,0.008270
