date,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32
2015-03-21,0.000000,-0.000035,0.002301,-0.001003,0.002686,0.000749,0.007162,0.017973,0.016783,0.013611,0.037094,0.043611,-0.004286,0.025685,0.012651,0.018127,0.030911,0.039218,0.045337,0.047580,0.031006,0.024577,0.029382,0.025188,0.000339,0.002705,0.006853,0.017174,0.021543,0.028043,-0.000042,-0.001003
2015-04-02,0.000000,0.000003,0.001903,-0.000943,0.002752,-0.000232,0.007528,0.017863,0.017010,0.014153,0.037503,0.044038,-0.008357,0.026482,0.011826,0.018493,0.030987,0.039663,0.045600,0.047712,0.032212,0.025791,0.030569,0.025370,0.001043,0.002201,0.005720,0.017892,0.022095,0.027333,-0.000416,-0.000943
2015-04-26,0.000000,0.002685,0.004409,0.001645,0.004809,0.004042,0.009138,0.019332,0.017078,0.016903,0.039855,0.046295,-0.007264,0.028809,0.013832,0.019747,0.033428,0.041889,0.048179,0.050234,0.034482,0.028047,0.032543,0.027275,0.003667,0.004880,0.006264,0.019246,0.023817,0.029624,0.002548,0.001645
2015-05-08,0.000000,0.002203,0.001624,-0.000499,0.001712,0.002152,0.006683,0.017355,0.015238,0.013919,0.037245,0.044720,-0.004881,0.026347,0.012429,0.018209,0.030799,0.039773,0.045765,0.048145,0.031458,0.024784,0.030355,0.025320,0.002058,0.003266,0.006428,0.018312,0.021921,0.028037,-0.000029,-0.000499
2015-05-20,0.000000,0.001217,0.000779,-0.001025,0.000491,0.000924,0.005391,0.015931,0.014781,0.013336,0.036289,0.043782,-0.012336,0.025484,0.010972,0.017235,0.030118,0.038988,0.044659,0.047016,0.031173,0.024613,0.029887,0.024872,0.000975,0.002895,0.005954,0.018135,0.022473,0.027825,-0.000950,-0.001025
2015-06-01,0.000000,0.001161,0.000650,-0.001419,-0.000982,-0.000357,0.003806,0.014453,0.014765,0.011812,0.034728,0.042110,-0.006478,0.023319,0.011132,0.016727,0.028526,0.037674,0.042926,0.045385,0.029237,0.022304,0.028324,0.023533,0.000525,0.002274,0.005710,0.016986,0.021068,0.026141,-0.001811,-0.001419
2015-06-13,0.000000,0.001497,0.001298,-0.000760,0.000113,0.000442,0.004318,0.014937,0.015591,0.012920,0.035900,0.043222,-0.008365,0.024141,0.011918,0.017758,0.029740,0.038856,0.044058,0.046571,0.030344,0.023392,0.029163,0.024265,0.000806,0.002640,0.006042,0.017560,0.021602,0.026931,-0.001152,-0.000760
2015-06-25,0.000000,0.001851,0.001545,-0.000404,0.000736,0.001008,0.005719,0.015377,0.016143,0.014073,0.036580,0.044214,-0.005320,0.025881,0.012570,0.018624,0.030731,0.039691,0.044792,0.047621,0.031845,0.024686,0.030679,0.025719,0.001487,0.003979,0.007374,0.018801,0.022944,0.028472,-0.000890,-0.000404
2015-07-07,0.000000,0.001909,0.002733,0.000274,0.002274,0.002474,0.006502,0.017561,0.017509,0.016883,0.038803,0.046446,-0.006238,0.027828,0.013897,0.020632,0.033324,0.041776,0.047229,0.049632,0.034015,0.027125,0.032207,0.026732,0.001362,0.004418,0.007232,0.019862,0.024148,0.029629,-0.000045,0.000274
2015-07-31,0.000000,0.001242,0.002196,-0.000134,0.000904,0.001130,0.004904,0.015528,0.015842,0.013939,0.036038,0.043403,-0.008683,0.024054,0.011859,0.018147,0.030142,0.038802,0.043944,0.046666,0.030068,0.023168,0.028266,0.023298,0.000167,0.002266,0.006233,0.016353,0.020419,0.025905,-0.000708,-0.000134
2015-08-12,0.000000,0.001425,0.002082,-0.000145,0.001682,0.001787,0.006027,0.014943,0.015212,0.014212,0.036470,0.044238,-0.005686,0.025897,0.011469,0.017981,0.030623,0.039265,0.044637,0.047475,0.031616,0.024872,0.030107,0.025259,0.000937,0.003691,0.006909,0.018346,0.022759,0.027732,-0.000286,-0.000145
